dataset_id,aggregation_level_hh,sample_no,edp_site_id,weight,postcode,state,lat_deg,long_deg
ds33,100,3,S0256,1,2765,NSW,-33.5922,150.9198
ds33,100,3,S0259,1,2155,NSW,-33.6999,150.9411
ds33,100,3,S0289,1,2756,NSW,-33.6586,150.8108
ds33,100,3,S0295,1,2330,NSW,-32.6377,151.093
ds33,100,3,S0299,1,2321,NSW,-32.7908,151.5154
ds33,100,3,S0310,1,2077,NSW,-33.7024,151.0993
ds33,100,3,S0316,1,2323,NSW,-32.8305,151.5312
ds33,100,3,S0318,1,2191,NSW,-33.9035,151.0847
ds33,100,3,S0320,1,2285,NSW,-32.9547,151.6645
ds33,100,3,S0321,1,2322,NSW,-32.7931,151.6769
ds33,100,3,S0334,1,2008,NSW,-33.8867,151.1975
ds33,100,3,S0335,1,2760,NSW,-33.7328,150.791
ds33,100,3,S0337,1,2227,NSW,-34.0521,151.088
ds33,100,3,S0349,1,2048,NSW,-33.8941,151.1642
ds33,100,3,S0366,1,2334,NSW,-32.6778,151.3892
ds33,100,3,S0367,1,2525,NSW,-34.4356,150.8583
ds33,100,3,S0374,1,2230,NSW,-34.0367,151.1592
ds33,100,3,S0380,1,2320,NSW,-32.7288,151.5345
ds33,100,3,S0393,1,2325,NSW,-32.8887,151.2832
ds33,100,3,S0396,1,2325,NSW,-32.8887,151.2832
ds33,100,3,S0405,1,2282,NSW,-32.9725,151.6527
ds33,100,3,S0406,1,2147,NSW,-33.7833,150.9333
ds33,100,3,S0410,1,2137,NSW,-33.8569,151.0912
ds33,100,3,S0417,1,2330,NSW,-32.6377,151.093
ds33,100,3,S0425,1,2750,NSW,-33.77350000000001,150.6947
ds33,100,3,S0428,1,2179,NSW,-33.9698,150.7967
ds33,100,3,S0431,1,2284,NSW,-32.9806,151.6184
ds33,100,3,S0443,1,2120,NSW,-33.7118,151.0714
ds33,100,3,S0450,1,2265,NSW,-33.0667,151.4167
ds33,100,3,S0452,1,2765,NSW,-33.5922,150.9198
ds33,100,3,S0459,1,2753,NSW,-33.5996,150.7514
ds33,100,3,S0487,1,2116,NSW,-33.8145,151.0375
ds33,100,3,S0494,1,2280,NSW,-33.0493,151.6569
ds33,100,3,S0501,1,2232,NSW,-34.0244,151.0386
