dataset_id,aggregation_level_hh,sample_no,edp_site_id,weight
ds34,1000,1,S0570,2
ds34,1000,1,S0571,5
ds34,1000,1,S0579,9
ds34,1000,1,S0582,9
ds34,1000,1,S0585,11
ds34,1000,1,S0588,4
ds34,1000,1,S0596,7
ds34,1000,1,S0598,11
ds34,1000,1,S0600,10
ds34,1000,1,W0001,7
ds34,1000,1,W0005,10
ds34,1000,1,W0008,6
ds34,1000,1,W0011,5
ds34,1000,1,W0013,8
ds34,1000,1,W0015,10
ds34,1000,1,W0018,2
ds34,1000,1,W0024,5
ds34,1000,1,W0027,7
ds34,1000,1,W0031,6
ds34,1000,1,W0037,5
ds34,1000,1,W0042,4
ds34,1000,1,W0047,8
ds34,1000,1,W0070,11
ds34,1000,1,W0073,7
ds34,1000,1,W0075,4
ds34,1000,1,W0077,6
ds34,1000,1,W0079,5
ds34,1000,1,W0081,8
ds34,1000,1,W0084,10
ds34,1000,1,W0085,7
ds34,1000,1,W0092,3
ds34,1000,1,W0094,7
ds34,1000,1,W0097,10
ds34,1000,1,W0114,4
ds34,1000,1,W0118,7
ds34,1000,1,W0120,6
ds34,1000,1,W0124,9
ds34,1000,1,W0142,8
ds34,1000,1,W0155,7
ds34,1000,1,W0175,6
ds34,1000,1,W0179,8
ds34,1000,1,W0181,7
ds34,1000,1,W0182,14
ds34,1000,1,W0183,2
ds34,1000,1,W0195,17
ds34,1000,1,W0198,5
ds34,1000,1,W0199,11
ds34,1000,1,W0207,6
ds34,1000,1,W0221,13
ds34,1000,1,W0232,6
ds34,1000,1,W0237,8
ds34,1000,1,W0250,5
ds34,1000,1,W0253,7
ds34,1000,1,W0263,9
ds34,1000,1,W0266,9
ds34,1000,1,W0271,4
ds34,1000,1,W0280,10
ds34,1000,1,W0291,7
ds34,1000,1,W0294,8
ds34,1000,1,W0302,7
ds34,1000,1,W0319,4
ds34,1000,1,W0324,6
ds34,1000,1,W0336,7
ds34,1000,1,W0345,8
ds35,1000,2,S0120,4
ds35,1000,2,S0135,5
ds35,1000,2,S0158,3
ds35,1000,2,S0168,12
ds35,1000,2,S0170,10
ds35,1000,2,S0172,4
ds35,1000,2,S0177,12
ds35,1000,2,S0179,11
ds35,1000,2,S0185,7
ds35,1000,2,S0191,9
ds35,1000,2,S0209,6
ds35,1000,2,S0212,7
ds35,1000,2,S0216,9
ds35,1000,2,S0217,9
ds35,1000,2,S0244,8
ds35,1000,2,S0247,3
ds35,1000,2,S0256,7
ds35,1000,2,S0259,5
ds35,1000,2,S0273,6
ds35,1000,2,S0289,3
ds35,1000,2,S0295,6
ds35,1000,2,S0299,5
ds35,1000,2,S0310,10
ds35,1000,2,S0316,8
ds35,1000,2,S0318,7
ds35,1000,2,S0320,7
ds35,1000,2,S0321,10
ds35,1000,2,S0334,3
ds35,1000,2,S0335,6
ds35,1000,2,S0337,5
ds35,1000,2,S0345,8
ds35,1000,2,S0347,11
ds35,1000,2,S0349,8
ds35,1000,2,S0350,3
ds35,1000,2,S0366,9
ds35,1000,2,S0367,5
ds35,1000,2,S0374,7
ds35,1000,2,S0380,14
ds35,1000,2,S0387,5
ds35,1000,2,S0393,11
ds35,1000,2,S0396,6
ds35,1000,2,S0403,9
ds35,1000,2,S0405,7
ds35,1000,2,S0406,5
ds35,1000,2,S0410,7
ds35,1000,2,S0413,8
ds35,1000,2,S0417,4
ds35,1000,2,S0425,9
ds35,1000,2,S0428,7
ds35,1000,2,S0431,10
ds35,1000,2,S0443,9
ds35,1000,2,S0444,2
ds35,1000,2,S0450,7
ds35,1000,2,S0452,8
ds35,1000,2,S0455,5
ds35,1000,2,S0459,10
ds35,1000,2,S0478,9
ds35,1000,2,S0487,5
ds35,1000,2,S0494,5
ds35,1000,2,S0501,4
ds35,1000,2,S0502,3
ds35,1000,2,S0516,6
ds35,1000,2,S0517,4
ds35,1000,2,S0524,10
ds35,1000,2,S0530,7
ds35,1000,2,S0532,6
ds35,1000,2,S0533,6
ds35,1000,2,S0536,12
ds35,1000,2,S0538,6
ds35,1000,2,S0544,6
ds35,1000,2,S0553,7
ds35,1000,2,S0558,7
ds35,1000,2,S0562,5
ds35,1000,2,S0567,7
ds35,1000,2,S0569,6
ds35,1000,2,S0570,8
ds35,1000,2,S0571,8
ds35,1000,2,S0579,7
ds35,1000,2,S0582,9
ds35,1000,2,S0585,6
ds35,1000,2,S0588,6
ds35,1000,2,S0596,10
ds35,1000,2,S0598,6
ds35,1000,2,S0600,6
ds35,1000,2,W0001,8
ds35,1000,2,W0005,12
ds35,1000,2,W0008,9
ds35,1000,2,W0011,8
ds35,1000,2,W0013,5
ds35,1000,2,W0015,7
ds35,1000,2,W0018,5
ds35,1000,2,W0024,6
ds35,1000,2,W0027,3
ds35,1000,2,W0031,10
ds35,1000,2,W0037,5
ds35,1000,2,W0042,10
ds35,1000,2,W0047,7
ds35,1000,2,W0070,12
ds35,1000,2,W0073,4
ds35,1000,2,W0075,7
ds35,1000,2,W0077,7
ds35,1000,2,W0079,4
ds35,1000,2,W0081,6
ds35,1000,2,W0084,8
ds35,1000,2,W0085,12
ds35,1000,2,W0092,7
ds35,1000,2,W0094,5
ds35,1000,2,W0097,8
ds35,1000,2,W0114,10
ds35,1000,2,W0118,5
ds35,1000,2,W0120,8
ds35,1000,2,W0124,6
ds35,1000,2,W0142,8
ds35,1000,2,W0155,9
ds35,1000,2,W0175,11
ds35,1000,2,W0179,4
ds35,1000,2,W0181,8
ds35,1000,2,W0182,7
ds35,1000,2,W0183,6
ds35,1000,2,W0195,8
ds35,1000,2,W0198,8
ds35,1000,2,W0199,7
ds35,1000,2,W0207,7
ds35,1000,2,W0221,4
ds35,1000,2,W0232,10
ds35,1000,2,W0237,8
ds35,1000,2,W0250,10
ds35,1000,2,W0253,12
ds35,1000,2,W0263,11
ds35,1000,2,W0266,5
ds35,1000,2,W0271,8
ds35,1000,2,W0280,5
ds35,1000,2,W0291,8
ds35,1000,2,W0294,5
ds35,1000,2,W0302,7
ds35,1000,2,W0319,5
ds35,1000,2,W0324,12
ds35,1000,2,W0336,4
ds35,1000,2,W0345,11
ds36,1000,3,S0120,13
ds36,1000,3,S0135,4
ds36,1000,3,S0158,9
ds36,1000,3,S0168,9
ds36,1000,3,S0170,9
ds36,1000,3,S0172,4
ds36,1000,3,S0177,6
ds36,1000,3,S0179,9
ds36,1000,3,S0185,8
ds36,1000,3,S0191,10
ds36,1000,3,S0209,9
ds36,1000,3,S0212,13
ds36,1000,3,S0216,4
ds36,1000,3,S0217,5
ds36,1000,3,S0244,6
ds36,1000,3,S0247,8
ds36,1000,3,S0256,11
ds36,1000,3,S0259,7
ds36,1000,3,S0273,10
ds36,1000,3,S0289,6
ds36,1000,3,S0295,3
ds36,1000,3,S0299,7
ds36,1000,3,S0310,4
ds36,1000,3,S0316,5
ds36,1000,3,S0318,9
ds36,1000,3,S0320,4
ds36,1000,3,S0321,9
ds36,1000,3,S0334,5
ds36,1000,3,S0335,6
ds36,1000,3,S0337,3
ds36,1000,3,S0345,7
ds36,1000,3,S0347,8
ds36,1000,3,S0349,7
ds36,1000,3,S0350,10
ds36,1000,3,S0366,8
ds36,1000,3,S0367,10
ds36,1000,3,S0374,4
ds36,1000,3,S0380,7
ds36,1000,3,S0387,6
ds36,1000,3,S0393,6
ds36,1000,3,S0396,9
ds36,1000,3,S0403,7
ds36,1000,3,S0405,6
ds36,1000,3,S0406,6
ds36,1000,3,S0410,6
ds36,1000,3,S0413,7
ds36,1000,3,S0417,6
ds36,1000,3,S0425,4
ds36,1000,3,S0428,6
ds36,1000,3,S0431,6
ds36,1000,3,S0443,5
ds36,1000,3,S0444,10
ds36,1000,3,S0450,11
ds36,1000,3,S0452,12
ds36,1000,3,S0455,10
ds36,1000,3,S0459,8
ds36,1000,3,S0478,5
ds36,1000,3,S0487,6
ds36,1000,3,S0494,10
ds36,1000,3,S0501,6
ds36,1000,3,S0502,6
ds36,1000,3,S0516,10
ds36,1000,3,S0517,4
ds36,1000,3,S0524,8
ds36,1000,3,S0530,8
ds36,1000,3,S0532,6
ds36,1000,3,S0533,6
ds36,1000,3,S0536,6
ds36,1000,3,S0538,3
ds36,1000,3,S0544,4
ds36,1000,3,S0553,10
ds36,1000,3,S0558,12
ds36,1000,3,S0562,10
ds36,1000,3,S0567,12
ds36,1000,3,S0569,2
ds36,1000,3,S0570,5
ds36,1000,3,S0571,15
ds36,1000,3,S0579,8
ds36,1000,3,S0582,7
ds36,1000,3,S0585,10
ds36,1000,3,S0588,4
ds36,1000,3,S0596,5
ds36,1000,3,S0598,10
ds36,1000,3,S0600,1
ds36,1000,3,W0001,12
ds36,1000,3,W0005,6
ds36,1000,3,W0008,11
ds36,1000,3,W0011,1
ds36,1000,3,W0013,13
ds36,1000,3,W0015,8
ds36,1000,3,W0018,8
ds36,1000,3,W0024,3
ds36,1000,3,W0027,10
ds36,1000,3,W0031,6
ds36,1000,3,W0037,4
ds36,1000,3,W0042,8
ds36,1000,3,W0047,7
ds36,1000,3,W0070,9
ds36,1000,3,W0073,6
ds36,1000,3,W0075,9
ds36,1000,3,W0077,10
ds36,1000,3,W0079,5
ds36,1000,3,W0081,3
ds36,1000,3,W0084,4
ds36,1000,3,W0085,11
ds36,1000,3,W0092,8
ds36,1000,3,W0094,10
ds36,1000,3,W0097,7
ds36,1000,3,W0114,8
ds36,1000,3,W0118,6
ds36,1000,3,W0120,8
ds36,1000,3,W0124,9
ds36,1000,3,W0142,10
ds36,1000,3,W0155,9
ds36,1000,3,W0175,6
ds36,1000,3,W0179,6
ds36,1000,3,W0181,7
ds36,1000,3,W0182,5
ds36,1000,3,W0183,3
ds36,1000,3,W0195,7
ds36,1000,3,W0198,6
ds36,1000,3,W0199,4
ds36,1000,3,W0207,10
ds36,1000,3,W0221,12
ds36,1000,3,W0232,13
ds36,1000,3,W0237,3
ds36,1000,3,W0250,7
ds36,1000,3,W0253,7
ds36,1000,3,W0263,6
ds36,1000,3,W0266,12
ds36,1000,3,W0271,6
ds36,1000,3,W0280,4
ds36,1000,3,W0291,4
ds36,1000,3,W0294,7
ds36,1000,3,W0302,9
ds36,1000,3,W0319,5
ds36,1000,3,W0324,4
ds36,1000,3,W0336,6
ds36,1000,3,W0345,6
