edp_site_id,postcode,state,lat,long,cluster,lat_deg,long_deg,date_of_first_data,date_of_last_data,number_of_days
W0345,2287,NSW,-0.5741033681632588,2.64749168767945,2,-32.8937,151.6901,2021-06-22,2024-09-30,1196
S0172,2070,NSW,-0.5896298171890003,2.638356634374512,2,-33.7833,151.1667,2021-06-22,2024-09-30,1197
W0280,2111,NSW,-0.5904745565469656,2.637485715077767,2,-33.8317,151.1168,2021-06-17,2024-09-30,1202
W0195,2777,NSW,-0.5881497779833091,2.629069737424651,2,-33.6985,150.6346,2021-06-16,2024-09-30,1203
S0335,2760,NSW,-0.5887484259167431,2.631799432374769,2,-33.7328,150.791,2021-04-09,2024-09-30,1270
W0237,2026,NSW,-0.5914554315865864,2.640348055051038,2,-33.8879,151.2808,2021-06-09,2024-09-30,1209
W0182,2259,NSW,-0.5800130530105116,2.643069023354897,2,-33.2323,151.4367,2021-05-31,2024-09-30,1218
W0097,2783,NSW,-0.5885354957479998,2.625493557787314,2,-33.7206,150.4297,2021-05-28,2024-09-30,1222
S0494,2280,NSW,-0.576819100479362,2.646912238367789,2,-33.0493,151.6569,2021-05-27,2024-09-30,1222
S0538,2291,NSW,-0.5748800396803962,2.648695964863327,2,-32.9382,151.7591,2021-05-27,2024-09-30,1223
W0198,2232,NSW,-0.5938378060155587,2.636120867602707,2,-34.0244,151.0386,2021-05-24,2024-09-30,1225
W0120,2088,NSW,-0.5906019655823611,2.639628979399216,2,-33.839,151.2396,2021-05-20,2024-09-30,1229
W0263,2294,NSW,-0.5744751232939336,2.648788467313682,2,-32.915,151.7644,2021-06-07,2024-09-30,1211
W0008,2287,NSW,-0.5741033681632588,2.64749168767945,2,-32.8937,151.6901,2020-10-30,2024-09-30,1431
W0319,2153,NSW,-0.5892022115222617,2.635323252134546,2,-33.7588,150.9929,2021-04-01,2024-09-30,1278
W0118,2072,NSW,-0.5891411249984418,2.638086108340453,2,-33.7553,151.1512,2021-03-22,2024-09-30,1288
S0536,2281,NSW,-0.57739505913252,2.646713270833061,2,-33.0823,151.6455,2020-11-09,2024-09-30,1422
S0532,2045,NSW,-0.5913699104532387,2.637958699305058,2,-33.883,151.1439,2020-11-16,2024-09-30,1415
S0075,2567,NSW,-0.5941694185734375,2.630776669433101,2,-34.0434,150.7324,2018-01-01,2024-09-30,2465
W0079,2285,NSW,-0.5751680190069753,2.64704488339094,2,-32.9547,151.6645,2020-11-20,2024-09-30,1410
